Dégustation,Nom,Couleur,Région,Appellation,Millésime,Pays
43,Busardières - Domaine de la Chevalerie,Rouge,Loire,Bourgueil,2005,France
43,Chinon Vieilles Vignes - Philippe Alliet,Rouge,Loire,Chinon,2005,France
43,Chinon Coteau de Noiré - Philippe Alliet,Rouge,Loire,Chinon,2009,France
43,Quarts de Chaume - Domaine des Baumards,Blanc liquoreux,Loire,Quarts-De-Chaume,1997,France
43,Clos du Bourg - Domaine Huet,Blanc liquoreux,Loire,Vouvray,1989,France
44,Bugey Cerdon - Méthode Ancestrale - Bernard et Marjorie Rondeau,Rosé effervescent,Savoie,Bugey Cerdon,N.M,France
44,La Chandella - Bernard et Marjorie Rondeau,Rosé effervescent,Savoie,Vin de France,N.M,France
44,Beaune 1er Cru - Domaine Baptiste Guyot,Rouge,Bourgogne,Beaune,2014,France
44,"Beaune 1er Cru ""Clos des Avaux"" - Domaine Baptiste Guyot",Rouge,Bourgogne,Beaune,2016,France
44,"Beaune 1er Cru ""Les Teurons"" - Domaine Baptiste Guyot",Rouge,Bourgogne,Beaune,2017,France
44,Volnay 1er Cru - Domaine Baptiste Guyot,Rouge,Bourgogne,Volnay,2016,France
44,Nuits Saint Georges - Domaine Pillot-Henry,Rouge,Bourgogne,Nuits-Saint-Georges,?,France
44,"Pommard 1er Cru ""Les Charmots"" - Domaine Pillot-Henry",Rouge,Bourgogne,Pommard,?,France
45,Le Blanc - Clos des Figuiers,Blanc,Sud-Ouest,Côtes-de-Duras,2015,France
45,Gevrey-Chambertin - Domaine Berthaut-Gerbet,Rouge,Bourgogne,Gevrey-Chambertin,2016,France
45,Chardonnay - Domaine Bellegarde,Blanc,Languedoc-Roussillon,Limoux,2016,France
45,L'Enfant Terrible - Nicolas Reau,Rouge,Loire,Anjou,2010,France
45,Dézaley Grand Cru - Domaine Antoine Bovard,Blanc,Vaud,Dézaley Grand Cru,2015,Suisse
45,Le Mont - Domaine Huet,Blanc liquoreux,Loire,Vouvray,2009,France
46,"Savigny-lès-Beaune 1er Cru ""Aux Vergelesses"" - Château Génot-Boulanger",Blanc,Bourgogne,Savigny-Lès-Beaune,2009,France
46,Le Clos Blanc de Vougeot - Domaine de la Vougeraie,Blanc,Bourgogne,Vougeot,2012,France
46,Champagne Grand Siècle - Laurent-Perrier,Blanc effervescent,Champagne,Champagne,N.M,France
46,Côte-Rotie - Domaine Clusel-Roch,Rouge,Rhône,Côte-Rôtie,2006,France
46,Château Mouton Rothschild,Rouge,Bordeaux,Pauillac,2004,France
46,Gewurztraminer Vendanges Tardives - Clos Saint-Théobald - Grand Cru Rangen - Domaine Schoffit,Blanc liquoreux,Alsace,Alsace-Grand-Cru,2001,France
47,Clos de la Coulée de Serrant,Blanc,Loire,Savennières-Coulée-De-Serrant,2015,France
47,Clos des Lambrays,Rouge,Bourgogne,Morey-Saint-Denis,2009,France
47,Château Pape Clément,Rouge,Bordeaux,Pessac-Léognan,2009,France
47,Vin de Paille - François Mossu,Blanc liquoreux,Jura,Côtes-du-Jura,2010,France
49,Albariño - Selección de Añada - Pazo de Señoráns,Blanc,Rías Baixas,-,2011,Espagne
49,Sur Le Mont - Domaine Cheveau,Blanc,Bourgogne,Mâcon-Solutré-Pouilly,2018,France
49,Grenache Blanc Vieilles Vignes - Domaine du Clos des Fées,Blanc,Languedoc-Roussillon,Vin de Pays des Côtes Catalanes,2011,France
49,Du Chaos naît une Étoile - Bertrand et Vincent Marchesseau,Rouge,Loire,Vin de table,2016,France
49,Sante Victoire - Château Coussin,Rouge,Provence,Côtes de Provence,2007,France
