Dégustation,Nom,Couleur,Région,Appellation,Millésime,Pays
11,Corton-Charlemagne Grand Cru - Dufouleur Père et Fils,Blanc,Bourgogne,Corton-Charlemagne,2003,France
11,Bâtard-Montrachet Grand Cru - Bouchard Père et Fils,Blanc,Bourgogne,Bâtard-Montrachet,2003,France
11,Château Poujeaux,Rouge,Bordeaux,Moulis-en-Médoc,2003,France
11,Vosne-Romanée Malconsorts - Louis Jadot,Rouge,Bourgogne,Vosne-Romanée,2003,France
11,Les Eygats - Domaine Courbis,Rouge,Rhône,Cornas,2003,France
11,L'Icône - Château de Sérame,Rouge,Languedoc-Roussillon,Corbières,2003,France
12,Château Minuty - Rosé Prestige,Rosé,Provence,Côtes de Provence,2011,France
12,Clos de La Coulée de Serrant,Blanc,Loire,Savennières-Coulée-De-Serrant,2006,France
12,Domaine Gauby Blanc - Vielles Vignes,Blanc,Languedoc-Roussillon,Vin de Pays des Côtes Catalanes,2009,France
12,Ambonnay Rouge Vielles Vignes - Cuvée des Grands Côtés - Egly Ouriet,Rouge,Champagne,Coteaux Champenois,2009,France
12,Hermitage - Jean-Louis Chave,Rouge,Rhône,Hermitage,2002,France
12,Prieuré de Saint-Jean de Bébian,Rouge,Languedoc-Roussillon,Languedoc,2001,France
12,Château-Chalon,Blanc,Jura,Château-Chalon,1989,France
12,Le Pech Badin,Rouge,Sud-Ouest,Vin de table,2005,France
13,Terroirs de Quintaine - Jean-Pierre Michel,Blanc,Bourgogne,Viré-Clessé,2010,France
13,Mas de Daumas Gassac,Blanc,Languedoc-Roussillon,Vin de Pays de l'Hérault,2009,France
13,Château Carbonnieux,Blanc,Bordeaux,Pessac-Léognan,2006,France
13,Ermitage de L'Orée - M. Chapoutier,Blanc,Rhône,Hermitage,2005,France
13,Château Clerc Milon,Rouge,Bordeaux,Pauillac,1982,France
13,Château Lagrange,Rouge,Bordeaux,Saint-Julien,1998,France
13,Romanée-Saint-Vivant - Domaine de La Romanée Conti,Rouge,Bourgogne,Romanée-Saint-Vivant,1996,France
13,Krug grande cuvée brut,Blanc effervescent,Champagne,Champagne,N.M,France
14,Criots-Bâtard-Montrachet Grand Cru - Louis Latour,Blanc,Bourgogne,Criots-Bâtard-Montrachet,2001,France
14,Échezeaux Grand Cru - J-P Mugneret,Rouge,Bourgogne,Échezeaux,1996,France
14,Château Branaire (Duluc - Ducru),Rouge,Bordeaux,Saint-Julien,1996,France
14,Les Forts de Latour,Rouge,Bordeaux,Pauillac,1998,France
14,Pavillon Rouge de Château Margaux,Rouge,Bordeaux,Margaux,1998,France
14,Anthologia - Château Tour Des Gendres - Famille De Conti,Rouge,Sud-Ouest,Bergerac,2000,France
14,Champagne Rosé Laurent-Perrier,Rosé effervescent,Champagne,Champagne,N.M,France
15,Château Ducru Beaucaillou,Rouge,Bordeaux,Saint-Julien,1921,France
15,Château Gruaud Larose,Rouge,Bordeaux,Saint-Julien,1942,France
15,Les Granits - M. Chapoutier,Blanc,Rhône,Saint-Joseph,2001,France
15,Château Gruaud Larose,Rouge,Bordeaux,Saint-Julien,1967,France
15,Château des Coulinats - Cuvée Réservée,Blanc liquoreux,Bordeaux,Sainte-Croix-Du-Mont,1955,France
15,Châteauneuf du Pape Cuvée Marie Beurrier - Henri Bonneau,Rouge,Rhône,Châteauneuf-Du-Pape,1988,France
15,Château Gilette - Crème de tête,Blanc liquoreux,Bordeaux,Sauternes,1976,France
15,Château Trotanoy,Rouge,Bordeaux,Pomerol,1990,France
16,Château d'Epiré - Cuvée Spéciale,Blanc,Loire,Savennières,2010,France
16,Champagne Rosé - Louis Roederer,Rosé effervescent,Champagne,Champagne,2007,France
16,Pur Sang - Didier Dagueneau,Blanc,Loire,Pouilly-Fumé,2007,France
16,Caillou Blanc - Château Talbot,Blanc,Bordeaux,Bordeaux,2007,France
16,Griotte-Chambertin - Domaine Ponsot,Rouge,Bourgogne,Griotte-Chambertin,2007,France
16,Pinot noir Le Grand H - Albert Mann,Rouge,Alsace,Alsace,2007,France
16,Côte-Rôtie La Mouline - E. Guigal,Rouge,Rhône,Côte-Rôtie,2007,France
17,Les Noëls de Montbenault - Richard Leroy,Blanc,Loire,Vin de France,2010,France
17,La Grande Dame - Veuve Cliquot Ponsardin,Blanc effervescent,Champagne,Champagne,1990,France
17,Chassagne-Montrachet 1er Cru - Louis Latour,Blanc,Bourgogne,Chassagne-Montrachet,2002,France
17,Château Longueville du Baron de Pichon-Longueville,Rouge,Bordeaux,Pauillac,1979,France
17,Château Pavie,Rouge,Bordeaux,Saint-Émilion-Grand-Cru,1989,France
17,Carruades de Lafite,Rouge,Bordeaux,Pauillac,2001,France
17,Domaine du Pélican - Vendages Tardives,Blanc liquoreux,Loire,Anjou-Coteaux-de-la-Loire,2007,France
18,Taburnum - Les Vins de Vienne,Blanc,Rhône,Vin de Pays des Collines Rhodaniennes,2008,France
18,Les Terrasses de l'Empire - Domaine Georges Vernay,Blanc,Rhône,Condrieu,2011,France
18,Renaissance - Domaine Clape,Rouge,Rhône,Cornas,2000,France
18,Aventure - Domaine Mas Saint Joseph,Rouge,Rhône,Costières de Nîmes,2009,France
18,Châteauneuf du Pape - Domaine Raymond Usseglio & Fils,Rouge,Rhône,Châteauneuf-Du-Pape,2000,France
18,D'Eux - Séguret - Domaine de Cabasse,Rouge,Rhône,Côtes-du-Rhône-Villages,2006,France
18,Banyuls Grand Cru - Vignerons Catalans,Rouge fortifié,Rhône,Banyuls Grand Cru,2003,France
19,Château La Grande Clotte,Blanc,Bordeaux,Bordeaux,2009,France
19,Château Le Bon Pasteur,Rouge,Bordeaux,Pomerol,2006,France
